"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"1_W","1","1","1","1","1","0","0","20190616","20200617"
"1_SA","0","0","0","0","0","1","0","20190616","20200617"
"1_SU","0","0","0","0","0","0","1","20190616","20200617"
"2_W","1","1","1","1","1","0","0","20190616","20200617"
"2_SA","0","0","0","0","0","1","0","20190616","20200617"
"2_SU","0","0","0","0","0","0","1","20190616","20200617"
"3_W","1","1","1","1","1","0","0","20190616","20200617"
"3_SA","0","0","0","0","0","1","0","20190616","20200617"
"3_SU","0","0","0","0","0","0","1","20190616","20200617"
"4_W","1","1","1","1","1","0","0","20190616","20200617"
"4_SA","0","0","0","0","0","1","0","20190616","20200617"
"4_SU","0","0","0","0","0","0","1","20190616","20200617"
"5_W","1","1","1","1","1","0","0","20190616","20200617"
"5_SA","0","0","0","0","0","1","0","20190616","20200617"
"5_SU","0","0","0","0","0","0","1","20190616","20200617"
"6_W","1","1","1","1","1","0","0","20190616","20200617"
"6_SA","0","0","0","0","0","1","0","20190616","20200617"
"6_SU","0","0","0","0","0","0","1","20190616","20200617"
"7_W","1","1","1","1","1","0","0","20190616","20200617"
"7_SA","0","0","0","0","0","1","0","20190616","20200617"
"7_SU","0","0","0","0","0","0","1","20190616","20200617"
"8_W","1","1","1","1","1","0","0","20190616","20200617"
"8_SA","0","0","0","0","0","1","0","20190616","20200617"
"8_SU","0","0","0","0","0","0","1","20190616","20200617"
"9_W","1","1","1","1","1","0","0","20190616","20200617"
"9_SA","0","0","0","0","0","1","0","20190616","20200617"
"9_SU","0","0","0","0","0","0","1","20190616","20200617"
"10_W","1","1","1","1","1","0","0","20190616","20200617"
"10_SA","0","0","0","0","0","1","0","20190616","20200617"
"10_SU","0","0","0","0","0","0","1","20190616","20200617"
"11_W","1","1","1","1","1","0","0","20190616","20200617"
"11_SA","0","0","0","0","0","1","0","20190616","20200617"
"11_SU","0","0","0","0","0","0","1","20190616","20200617"
"12_W","1","1","1","1","1","0","0","20190616","20200617"
"12_SA","0","0","0","0","0","1","0","20190616","20200617"
"12_SU","0","0","0","0","0","0","1","20190616","20200617"
"13_W","1","1","1","1","1","0","0","20190616","20200617"
"13_SA","0","0","0","0","0","1","0","20190616","20200617"
"13_SU","0","0","0","0","0","0","1","20190616","20200617"
"14_W","1","1","1","1","1","0","0","20190616","20200617"
"14_SA","0","0","0","0","0","1","0","20190616","20200617"
"14_SU","0","0","0","0","0","0","1","20190616","20200617"
"15_W","1","1","1","1","1","0","0","20190616","20200617"
"15_SA","0","0","0","0","0","1","0","20190616","20200617"
"15_SU","0","0","0","0","0","0","1","20190616","20200617"
"17_W","1","1","1","1","1","0","0","20190616","20200617"
"17_SA","0","0","0","0","0","1","0","20190616","20200617"
"17_SU","0","0","0","0","0","0","1","20190616","20200617"
"19_W","1","1","1","1","1","0","0","20190616","20200617"
"19_SA","0","0","0","0","0","1","0","20190616","20200617"
"19_SU","0","0","0","0","0","0","1","20190616","20200617"
"18_W","1","1","1","1","1","0","0","20190616","20200617"
"18_SA","0","0","0","0","0","1","0","20190616","20200617"
"18_SU","0","0","0","0","0","0","1","20190616","20200617"
"21_W","1","1","1","1","1","0","0","20190616","20200617"
"21_SA","0","0","0","0","0","1","0","20190616","20200617"
"21_SU","0","0","0","0","0","0","1","20190616","20200617"
"20_W","1","1","1","1","1","0","0","20190616","20200617"
"20_SA","0","0","0","0","0","1","0","20190616","20200617"
"20_SU","0","0","0","0","0","0","1","20190616","20200617"
"26_W","1","1","1","1","1","0","0","20190616","20200617"
"35_W","1","1","1","1","1","0","0","20190616","20200617"
"35_SA","0","0","0","0","0","1","0","20190616","20200617"
"35_SU","0","0","0","0","0","0","1","20190616","20200617"
"57_W","1","1","1","1","1","0","0","20190616","20200617"
"57_SA","0","0","0","0","0","1","0","20190616","20200617"
"57_SU","0","0","0","0","0","0","1","20190616","20200617"
"23_W","1","1","1","1","1","0","0","20190616","20200617"
"23_SA","0","0","0","0","0","1","0","20190616","20200617"
"23_SU","0","0","0","0","0","0","1","20190616","20200617"
"22_W","1","1","1","1","1","0","0","20190616","20200617"
"22_SA","0","0","0","0","0","1","0","20190616","20200617"
"22_SU","0","0","0","0","0","0","1","20190616","20200617"
"25_W","1","1","1","1","1","0","0","20190616","20200617"
"25_SA","0","0","0","0","0","1","0","20190616","20200617"
"25_SU","0","0","0","0","0","0","1","20190616","20200617"
"24_W","1","1","1","1","1","0","0","20190616","20200617"
"24_SA","0","0","0","0","0","1","0","20190616","20200617"
"24_SU","0","0","0","0","0","0","1","20190616","20200617"
