"stop_id","stop_code","stop_name","stop_lat","stop_lon","location_type","parent_station"
"3175","3175","Opposite to Tetroni Ltd","41.685381000006274","44.99988399999999","",""
"3176","3176","JSC Screen","41.68479600000639","44.996209","",""
"3177","3177","Opposite to Pharmaceutical Factory Aversi","41.68375100000655","44.992773000000014","",""
"2936","2936","Poultry Farming","41.68225400000679","44.98751800000002","",""
"3178","3178","Poultry Farming #3","41.680162000007044","44.987023000000036","",""
"1480","1480","Lilo Settlement, Block II, #3","41.68025200000706","44.98301700000003","",""
"3179","3179","Lilo Settlement Block II, #8","41.68121700000689","44.982374000000036","",""
"3180","3180","Adjacent to Cross of Street entered into Lilo Settlement and Chirnakhuli Street","41.68254500000668","44.98458200000004","",""
"3181","3181","Opposite to Pranguliani Street and Chirnakhuli Street intersection","41.68383400000652","44.98321400000004","",""
"3182","3182","#168 Public School","41.68609900000617","44.979305000000046","",""
"3183","3183","Lilo Settlement #1-2","41.68522700000633","44.97461300000006","",""
"3184","3184","Opposite to Iumashevi Street #15","41.68550300000631","44.97038800000008","",""
"3185","3185","Iumashevi Street #10","41.69036400000568","44.9617980000001","",""
"3186","3186","Tbilisi trade base (Kakheti Highway)","41.69234100000535","44.961701000000105","",""
"3586","3586","Cross of Kakheti Highway and at crossing road of Didi Lilo","41.69301870249722","44.95751770293521","",""
"3025","3025","Opposite to Alekseevka Settlement #3","41.692173000005425","44.945899000000146","",""
"1483","1483","Zemo Alekseevka","41.68998141642471","44.93362731682084","",""
"1484","1484","Orkhevi Crossing Road","41.68871978717706","44.92656668087167","",""
"3023","3023","Kakheti highway and Phirosmani Street intersection","41.68833200000591","44.921001000000224","",""
"2736","2736","Opposite to the mill (Kakheti Highway)","41.688612000005875","44.91810800000024","",""
"2737","2737","Tvalchrelidze #1","41.68919600000578","44.907335000000266","",""
"1485","1485","Sante","41.688367000005904","44.90236500000029","",""
"2738","2738","Gakhokidze Street","41.687661000006024","44.89592300000031","",""
"1488","1488","Kaloubani Street","41.68479100088858","44.887395005273625","",""
"839","839","III Massive, Block I, Building ""E""","41.68433800198479","44.8813849941069","",""
"3019","3019","III Masivi","41.68430500000644","44.875823000000366","",""
"1487","1487","Javakheti Street and Kakheti Highway intersection","41.68439234053172","44.8715374379172","",""
"3056","3056","Opposite to Moscow Avenue #23","41.68047900000694","44.869454000000374","",""
"1071","1071","Opposite to Moscow Avenue #19","41.68117000000691","44.86759900000039","",""
"1069","1069","Opposite to Moscow Avenue # 15","41.68370878705057","44.861886185084686","",""
"2149","2149","JSC Qashanauri","41.684523058844505","44.857892168540204","",""
"1066","1066","Metro Station Samgori","41.68520902502492","44.85478509332869","",""
"3097","3097","Abuseridze Street","41.68604800000626","44.84996600000044","",""
"3869","3869","Opposite to Queen Ketevani Avenue #67","41.68630747667967","44.84269995257649","",""
"2940","2940","Lochini Settlement #1","41.68691802226581","45.00107944579515","",""
"3089","3089","Opposite to Metro Station Isani","41.68611800000623","44.84188500000046","",""
"1065","1065","Abuseridze Street","41.68585705679097","44.84997416275159","",""
"1067","1067","Metro Station Samgori","41.685223000006324","44.85395600000043","",""
"2155","2155","Mevele Street","41.68436200000647","44.85758200000042","",""
"1068","1068","Moscow Avenue # 15","41.683651976391474","44.861573181668284","",""
"1070","1070","Moscow Avenue #19","41.68097900000694","44.86742400000038","",""
"1072","1072","Cross of Moscow Avenue and Javaxeti Street","41.6808014535006","44.87081730506571","",""
"3020","3020","III Masivi","41.68380700000651","44.876478000000354","",""
"3157","3157","Geocell Bridge (towards Airport)","41.68388387450751","44.87863727280241","",""
"838","838","Opposite to III masivi bloc #1, korp ""e""","41.683931213709194","44.88213131165933","",""
"1472","1472","Pepela","41.68441755560827","44.88769025332831","",""
"2739","2739","Opposite to Gakhokidze Street","41.68716700000605","44.89503400000031","",""
"1473","1473","Opposite to Sante","41.68796900000598","44.902424000000295","",""
"2741","2741","near the mill (Kakheti Highway)","41.688239000005936","44.91808000000023","",""
"1474","1474","Orkhevi Crossing Road Down","41.68797100000595","44.920969000000234","",""
"3024","3024","Orkhevi Bridge","41.688227000005924","44.92614700000022","",""
"1475","1475","Kvemo Aleqseevka","41.68950200000576","44.93378500000019","",""
"2742","2742","Special Task Service of Ministry of Internal Affairs","41.6908964072745","44.94140439066566","",""
"3026","3026","Alekseevka Settlement #3","41.691790000005454","44.94600700000016","",""
"2190","2190","Village Didi Lilo Crossing Road Down","41.69276235134695","44.95704506437134","",""
"3165","3165","Opposite to Tbilisi trade base (Kakheti Highway)","41.692307000005414","44.961554000000106","",""
"3166","3166","Opposite to Iumashevi Street #10","41.69056800000564","44.9615860000001","",""
"3167","3167","Iumashevi Street #15","41.685137000006385","44.97127500000008","",""
"3168","3168","Lilo Station #1-2","41.685126000006356","44.974398000000065","",""
"1477","1477","#168 Public School","41.686002000006226","44.97906800000005","",""
"3169","3169","Pranguliani Street and Chirnakhuli Street intersection","41.68366200000651","44.98327500000004","",""
"3170","3170","intersection of Street entered into Lilo Settlement and Chirnakhuli Street","41.68258800000671","44.984305000000035","",""
"3171","3171","Lilo Settlement Block II #8","41.68135700000684","44.982342000000045","",""
"3172","3172","#107 Public School","41.679250000007166","44.98046400000004","",""
